vtaxid,vname,vrefseq,htaxid,hname
1977403,Acholeplasma phage MV-L51,NC_001341,2148,Acholeplasma laidlawii
1589747,Achromobacter phage 83-24,NC_028834,85698,Achromobacter xylosoxidans
1416009,Achromobacter phage JWAlpha,NC_023556,85698,Achromobacter xylosoxidans
1416008,Achromobacter phage JWDelta,KF787094,85698,Achromobacter xylosoxidans
1589748,Achromobacter phage JWF,NC_029075,85698,Achromobacter xylosoxidans
1589746,Achromobacter phage JWX,NC_028768,85698,Achromobacter xylosoxidans
2591403,Achromobacter phage Motura,NC_049849,1389935,Achromobacter animicus
1610509,Achromobacter phage phiAxp-1,NC_029033,85698,Achromobacter xylosoxidans
1664246,Achromobacter phage phiAxp-2,NC_029106,85698,Achromobacter xylosoxidans
1664247,Achromobacter phage phiAxp-3,NC_028908,85698,Achromobacter xylosoxidans
1229761,Acidithiobacillus phage AcaML1,JX507079,637389,Acidithiobacillus caldus ATCC 51756
2010329,Acidovorax phage ACP17,NC_041997,80869,Acidovorax citrulli
889876,Acinetobacter phage AB1,NC_042028,470,Acinetobacter baumannii
1273713,Acinetobacter phage AB3,NC_021337,470,Acinetobacter baumannii
2500826,Acinetobacter phage AbKT21phiIII,NC_048142,470,Acinetobacter baumannii
1235824,Acinetobacter phage Abp1,NC_021316,470,Acinetobacter baumannii
2015804,Acinetobacter phage AbP2,NC_041998,470,Acinetobacter baumannii
2500827,Acinetobacter phage AbTZA1,NC_049445,470,Acinetobacter baumannii
762660,Acinetobacter phage Ac42,NC_014660,469,Acinetobacter
760732,Acinetobacter phage Acj61,NC_014661,40214,Acinetobacter johnsonii
760939,Acinetobacter phage Acj9,NC_014663,40214,Acinetobacter johnsonii
2178927,Acinetobacter phage AM101,NC_049511,470,Acinetobacter baumannii
154784,Acinetobacter phage AP205,NC_002700,70347,Acinetobacter genomosp. 16BJ
1187128,Acinetobacter phage AP22,NC_017984,470,Acinetobacter baumannii
2686308,Acinetobacter phage Apostate,NC_049491,470,Acinetobacter baumannii
2686290,Acinetobacter phage Berthold,NC_049490,470,Acinetobacter baumannii
1647373,Acinetobacter phage Fri1,NC_028848,470,Acinetobacter baumannii
1243183,Acinetobacter phage IME-AB2,NC_041857,470,Acinetobacter baumannii
1735582,Acinetobacter phage IME200,NC_028987,470,Acinetobacter baumannii
1458669,Acinetobacter phage IMEAB3,NC_023590,470,Acinetobacter baumannii
